Employee Address            Salary            Experience            Blood Group            Employee Id            Name            Department            Mobile            
gurgoan            12000            2            o            12            hannu            Developer            9876541012            
domlur            15000            1            o            13            Rahul            Developer            8837605021            
sirsha            16000            3            b            14            parmar            Testing            9915072427            
rewari            18000            5            ab            15            manjit            Developer            9437811314            
jaggar            19000            3            ab-            16            ankit            Developer            8910054547            
gurdashpur            20000            2            o-            17            sukhi            marketing            7431245123            
phagwara            17000            1            a            18            john            sales            9875461234            
jalandhar            21000            3            ab+            19            mark            srs            8745456578            
amritsar            22000            4            a            20            ajay            testing            7905124847            
Belanduru            25000            2            o+            21            Rathin            embedded            8795452610            
